A70F : JSR 8429       : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:FA000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8429 : LDA 31         : A=FA X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:FA000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
842B : BEQ 840A       : A=FA X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:FA000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
842D : SEC            : A=FA X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:FA000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
842E : LDA 30         : A=80 X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=1 : FWA 80-80:FA000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8430 : SBC 3C         : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:FA000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8432 : BEQ 84A3       : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:FA000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8434 : BCC 846A       : A=FF X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:FA000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
846A : EOR #FF        : A=00 X=8A Y=81 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 80-80:FA000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
846C : INC A          : A=01 X=8A Y=81 SP=?? N=0 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:FA000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
846D : CMP #25        : A=01 X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:FA000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
846F : BCS 840A       : A=01 X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:FA000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8471 : LDY 3C         : A=01 X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-80:FA000000:00:00 = -9.76562500E-01 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8473 : STY 30         : A=01 X=8A Y=81 SP=?? N=1 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:FA000000:00:00 = -1.95312500E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8475 : TAY            : A=01 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:FA000000:00:00 = -1.95312500E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8476 : AND #38        : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 80-81:FA000000:00:00 = -1.95312500E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8478 : BEQ 8491       : A=00 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=1 C=0 : FWA 80-81:FA000000:00:00 = -1.95312500E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8491 : TYA            : A=01 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:FA000000:00:00 = -1.95312500E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8492 : AND #07        : A=01 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:FA000000:00:00 = -1.95312500E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
8494 : BEQ 84A3       : A=01 X=8A Y=01 SP=?? N=0 V=0 D=0 I=0 Z=0 C=0 : FWA 80-81:FA000000:00:00 = -1.95312500E+00 : FWB 00-81:80000000:00:?? = +1.00000000E+00
